Name;NHM_Id;Produktudbyder;Produkt;Risikoniveau;År til pension;ÅOP;Date;Return;Serie;IsBenchmark;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-09-2012;0.0148507;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2012;-0.0003175255848760772;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-10-2012;-0.0011125;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-11-2012;0.008938322463502235;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-11-2012;0.0092295;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-12-2012;0.010317460161872072;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-12-2012;0.0076556;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2013;0.012117511776939427;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-01-2013;0.0111243;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;28-02-2013;0.012947452092271883;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;28-02-2013;0.011248000000000001;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2013;0.013967890381467063;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-03-2013;0.0156383;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2013;0.009820510269356264;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-04-2013;0.012414799999999998;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-05-2013;-0.00033553092099736226;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-05-2013;0.005128000000000001;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-06-2013;-0.02420289913761442;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-06-2013;-0.0235474;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-07-2013;0.017735683308523154;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-07-2013;0.0201663;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-08-2013;-0.015554044194155292;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-08-2013;-0.0091197;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-09-2013;0.01903505964830776;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-09-2013;0.0174129;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2013;0.01928159330167656;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-10-2013;0.021481300000000002;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-11-2013;0.006790530696101138;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-11-2013;0.013903700000000001;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-12-2013;0.004328619957506774;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-12-2013;0.0043889;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2014;-0.01121409023464015;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-01-2014;-0.0034375;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;28-02-2014;0.021934945017742624;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;28-02-2014;0.0244972;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2014;0.005770598021850981;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-03-2014;0.0059641;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2014;0.004251450904997345;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;30-04-2014;0.0032683;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-05-2014;0.01906410412504922;Danica Balance Middel risiko 15 Year;False;
PFA Profil Middel 15 Year;y;PFA;LivsCyklus;Moderat;15;0.84;31-05-2014;0.0221362;PFA Profil Middel 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-06-2014;0.0076625979148563506;Danica Balance Middel risiko 15 Year;False;
